"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","36.970","36.140","37.020","35.810","0.82K","3.07%"
"31/07/2024","35.870","35.735","35.950","35.105","0.29K","4.39%"
"30/07/2024","34.361","33.740","34.300","33.740","0.01K","1.43%"
"29/07/2024","33.875","33.475","33.930","33.350","0.08K","4.31%"
"26/07/2024","32.475","32.135","32.780","32.135","0.07K","2.19%"
"25/07/2024","31.780","32.380","32.380","31.690","0.75K","-2.58%"
"24/07/2024","32.620","31.525","32.945","31.520","0.66K","3.16%"
"23/07/2024","31.620","31.620","31.830","31.335","1.12K","-0.69%"
"22/07/2024","31.840","31.800","31.950","31.195","0.35K","-1.03%"
"19/07/2024","32.170","32.530","32.530","31.725","0.22K","-1.55%"
"18/07/2024","32.675","31.840","32.755","31.820","0.20K","2.45%"
"17/07/2024","31.895","32.905","33.250","31.600","0.75K","-2.74%"
"16/07/2024","32.795","31.495","33.020","31.495","0.39K","4.54%"
"15/07/2024","31.370","31.860","31.930","31.075","0.80K","-1.10%"
"12/07/2024","31.720","31.270","32.285","30.920","0.90K","1.96%"
"11/07/2024","31.110","30.850","31.405","30.405","0.85K","1.06%"
"10/07/2024","30.785","31.250","31.695","30.635","1.40K","-1.76%"
"09/07/2024","31.335","32.175","32.175","30.950","1.05K","-2.94%"
"08/07/2024","32.285","33.195","33.700","32.050","1.01K","-2.36%"
"05/07/2024","33.065","32.505","33.800","32.415","0.79K","1.15%"
"03/07/2024","32.690","33.250","33.390","32.645","1.24K","-2.95%"
"02/07/2024","33.685","33.525","33.870","33.175","0.67K","0.60%"
"01/07/2024","33.485","34.500","34.945","33.420","0.21K","-2.89%"
"28/06/2024","34.480","34.675","34.745","34.050","0.46K","-0.25%"
"27/06/2024","34.565","34.125","34.250","34.125","0.00K","2.19%"
"26/06/2024","33.825","35.150","35.150","34.850","0.08K","-2.96%"
"25/06/2024","34.855","34.325","34.875","34.325","0.17K","2.27%"
"24/06/2024","34.080","33.800","34.550","33.800","0.21K","0.42%"
"21/06/2024","33.936","34.400","34.555","33.870","0.52K","-1.53%"
"20/06/2024","34.465","34.530","35.690","34.250","0.89K","-0.68%"
"18/06/2024","34.700","34.280","35.050","34.280","0.60K","1.43%"
"17/06/2024","34.210","35.400","35.400","34.200","0.41K","-3.25%"
"14/06/2024","35.360","35.375","36.045","34.850","0.41K","-1.02%"
"13/06/2024","35.725","35.665","36.750","35.560","0.40K","1.22%"
"12/06/2024","35.295","34.055","36.025","33.930","0.43K","2.95%"
"11/06/2024","34.285","33.675","35.335","33.580","0.26K","0.07%"
"10/06/2024","34.260","33.005","34.675","32.430","0.62K","3.48%"
"07/06/2024","33.109","32.885","33.405","32.815","0.36K","-1.71%"
"06/06/2024","33.685","33.225","34.150","32.960","0.43K","0.99%"
"05/06/2024","33.355","33.750","34.380","33.175","1.08K","-1.30%"
"04/06/2024","33.795","36.075","36.480","33.690","0.93K","-6.16%"
"03/06/2024","36.015","36.230","38.500","35.695","0.43K","5.24%"
"31/05/2024","34.223","35.280","35.700","34.130","0.37K","-2.75%"
"30/05/2024","35.192","33.875","34.545","33.600","0.06K","3.87%"
"29/05/2024","33.880","34.135","34.300","33.400","0.17K","1.03%"
"28/05/2024","33.535","34.410","34.800","33.380","0.16K","-1.70%"
"24/05/2024","34.115","35.600","35.600","33.500","0.76K","-3.16%"
"23/05/2024","35.230","34.620","36.165","33.855","1.23K","2.44%"
"22/05/2024","34.390","32.880","34.750","32.830","1.01K","4.20%"
"21/05/2024","33.005","31.625","33.205","31.330","0.79K","3.89%"
"20/05/2024","31.770","31.320","32.170","31.245","0.84K","3.25%"
